study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	read_count	base_count	fastq_ftp	submitted_bytes	submitted_ftp	sra_ftp	bam_ftp
PRJEB36435	SAMEA6510676	ERX3864566	ERR3852488	1235509	synthetic metagenome	17011	5084176	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852488/ERR3852488.fastq.gz	2443107	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852488/Ca-10-2-high_S62_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/008/ERR3852488	
PRJEB36435	SAMEA6510701	ERX3864586	ERR3852508	1235509	synthetic metagenome	19877	5715128	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852508/ERR3852508.fastq.gz	3310384	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852508/Ec-10-3-R2-low_S51_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/008/ERR3852508	
PRJEB36435	SAMEA6510679	ERX3864569	ERR3852491	1235509	synthetic metagenome	19907	5530283	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3852491/ERR3852491.fastq.gz	2377508	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852491/Ca-10-3-R3-low_S74_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/001/ERR3852491	
PRJEB36435	SAMEA6510703	ERX3864588	ERR3852510	1235509	synthetic metagenome	15070	4264810	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3852510/ERR3852510.fastq.gz	2524074	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852510/Ec-10-3-high_S39_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/000/ERR3852510	
PRJEB36435	SAMEA6510680	ERX3864570	ERR3852492	1235509	synthetic metagenome	20044	5950153	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3852492/ERR3852492.fastq.gz	2977383	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852492/Ca-10-3-high_S61_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/002/ERR3852492	
PRJEB36435	SAMEA6510710	ERX3864595	ERR3852517	1235509	synthetic metagenome	43065	12580059	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3852517/ERR3852517.fastq.gz	6069010	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852517/Ec-10-7-high_S35_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/007/ERR3852517	
PRJEB36435	SAMEA6510686	ERX3864576	ERR3852498	1235509	synthetic metagenome	23854	6414911	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852498/ERR3852498.fastq.gz	2446808	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852498/Ca-10-6-low_S65_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/008/ERR3852498	
PRJEB36435	SAMEA6510712	ERX3864597	ERR3852519	1235509	synthetic metagenome	62961	18833491	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3852519/ERR3852519.fastq.gz	8579819	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852519/Ec-10-8-high_S34_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/009/ERR3852519	
PRJEB36435	SAMEA6510687	ERX3864577	ERR3852499	1235509	synthetic metagenome	25120	6760258	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3852499/ERR3852499.fastq.gz	2586837	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852499/Ca-10-7-high_S57_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/009/ERR3852499	
PRJEB36435	SAMEA6510713	ERX3864598	ERR3852520	1235509	synthetic metagenome	33753	10067351	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3852520/ERR3852520.fastq.gz	4484342	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852520/Ec-10-8-low_S43_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/000/ERR3852520	
PRJEB36435	SAMEA6510694	ERX3864579	ERR3852501	1235509	synthetic metagenome	6827	1975172	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3852501/ERR3852501.fastq.gz	1147993	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852501/Ec-10-1-R1-low_S50_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/001/ERR3852501	
PRJEB36435	SAMEA6507922	ERX3864676	ERR3852598	408170	human gut metagenome	29340	8743605	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852598/ERR3852598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852598/ERR3852598_2.fastq.gz	1337100;670332	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852598/NICU_001_32_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852598/NICU_001_32_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/008/ERR3852598	
PRJEB36435	SAMEA6510698	ERX3864583	ERR3852505	1235509	synthetic metagenome	9242	2759644	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3852505/ERR3852505.fastq.gz	1878988	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852505/Ec-10-2-R2-low_S52_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/005/ERR3852505	
PRJEB36435	SAMEA6507928	ERX3864682	ERR3852604	408170	human gut metagenome	35717	10558550	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3852604/ERR3852604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3852604/ERR3852604_2.fastq.gz	1650612;820879	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852604/NICU_011_42_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852604/NICU_011_42_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/004/ERR3852604	
PRJEB36435	SAMEA6507930	ERX3864684	ERR3852606	408170	human gut metagenome	27795	8307365	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3852606/ERR3852606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3852606/ERR3852606_2.fastq.gz	1243901;606159	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852606/NICU_012_15_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852606/NICU_012_15_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/006/ERR3852606	
PRJEB36435	SAMEA6510700	ERX3864585	ERR3852507	1235509	synthetic metagenome	13693	3972244	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3852507/ERR3852507.fastq.gz	2290018	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852507/Ec-10-3-R1-low_S48_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/007/ERR3852507	
PRJEB36435	SAMEA6507935	ERX3864689	ERR3852611	408170	human gut metagenome	39398	11725916	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3852611/ERR3852611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3852611/ERR3852611_2.fastq.gz	1848070;910090	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852611/NICU_013_14_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852611/NICU_013_14_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/001/ERR3852611	
PRJEB36435	SAMEA6510702	ERX3864587	ERR3852509	1235509	synthetic metagenome	12714	3703941	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3852509/ERR3852509.fastq.gz	2158035	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852509/Ec-10-3-R3-low_S54_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/009/ERR3852509	
PRJEB36435	SAMEA6507938	ERX3864692	ERR3852614	408170	human gut metagenome	25414	7573039	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3852614/ERR3852614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/004/ERR3852614/ERR3852614_2.fastq.gz	1132792;541750	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852614/NICU_015_14_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852614/NICU_015_14_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/004/ERR3852614	
PRJEB36435	SAMEA6510704	ERX3864589	ERR3852511	1235509	synthetic metagenome	18840	5520582	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3852511/ERR3852511.fastq.gz	3223216	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852511/Ec-10-4-high_S38_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/001/ERR3852511	
PRJEB36435	SAMEA6507940	ERX3864694	ERR3852616	408170	human gut metagenome	25368	7272572	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3852616/ERR3852616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3852616/ERR3852616_2.fastq.gz	1197516;597132	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852616/NICU_015_42_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852616/NICU_015_42_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/006/ERR3852616	
PRJEB36435	SAMEA6510706	ERX3864591	ERR3852513	1235509	synthetic metagenome	28488	8103701	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3852513/ERR3852513.fastq.gz	4657805	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852513/Ec-10-5-high_S37_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/003/ERR3852513	
PRJEB36435	SAMEA6507941	ERX3864695	ERR3852617	408170	human gut metagenome	25479	6929411	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3852617/ERR3852617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3852617/ERR3852617_2.fastq.gz	1098898;518859	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852617/NICU_017_00_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852617/NICU_017_00_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/007/ERR3852617	
PRJEB36435	SAMEA6510708	ERX3864593	ERR3852515	1235509	synthetic metagenome	7920	2149065	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/005/ERR3852515/ERR3852515.fastq.gz	1170500	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852515/Ec-10-6-high_S36_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/005/ERR3852515	
PRJEB36435	SAMEA6507942	ERX3864696	ERR3852618	408170	human gut metagenome	35646	10645836	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852618/ERR3852618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852618/ERR3852618_2.fastq.gz	1671187;851014	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852618/NICU_017_14_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852618/NICU_017_14_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/008/ERR3852618	
PRJEB36435	SAMEA6510711	ERX3864596	ERR3852518	1235509	synthetic metagenome	16083	4678979	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852518/ERR3852518.fastq.gz	2129879	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852518/Ec-10-7-low_S44_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/008/ERR3852518	
PRJEB36435	SAMEA6507944	ERX3864698	ERR3852620	408170	human gut metagenome	37137	10298686	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3852620/ERR3852620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3852620/ERR3852620_2.fastq.gz	1661158;868748	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852620/NICU_017_32_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852620/NICU_017_32_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/000/ERR3852620	
PRJEB36435	SAMEA6510714	ERX3864599	ERR3852521	1235509	synthetic metagenome	47826	14306808	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3852521/ERR3852521.fastq.gz	6359723	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852521/Ec-10-9-high_S33_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/001/ERR3852521	
PRJEB36435	SAMEA6507946	ERX3864700	ERR3852622	408170	human gut metagenome	33478	9974513	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3852622/ERR3852622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3852622/ERR3852622_2.fastq.gz	1485791;736512	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852622/NICU_027_14_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852622/NICU_027_14_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/002/ERR3852622	
PRJEB36435	SAMEA6510715	ERX3864600	ERR3852522	1235509	synthetic metagenome	51122	15291686	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3852522/ERR3852522.fastq.gz	6732142	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852522/Ec-10-9-low_S42_L001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/002/ERR3852522	
PRJEB36435	SAMEA6507950	ERX3864704	ERR3852626	408170	human gut metagenome	41019	12158793	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3852626/ERR3852626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3852626/ERR3852626_2.fastq.gz	1852305;897806	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852626/NICU_035_15_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852626/NICU_035_15_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/006/ERR3852626	
PRJEB36435	SAMEA6507920	ERX3864674	ERR3852596	408170	human gut metagenome	42036	12480526	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3852596/ERR3852596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/006/ERR3852596/ERR3852596_2.fastq.gz	1809830;933633	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852596/NICU_001_07_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852596/NICU_001_07_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/006/ERR3852596	
PRJEB36435	SAMEA6507952	ERX3864706	ERR3852628	408170	human gut metagenome	43298	12936254	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852628/ERR3852628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852628/ERR3852628_2.fastq.gz	1955254;971635	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852628/NICU_035_27_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852628/NICU_035_27_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/008/ERR3852628	
PRJEB36435	SAMEA6507921	ERX3864675	ERR3852597	408170	human gut metagenome	35533	10414737	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3852597/ERR3852597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/007/ERR3852597/ERR3852597_2.fastq.gz	1567029;791296	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852597/NICU_001_28_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852597/NICU_001_28_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/007/ERR3852597	
PRJEB36435	SAMEA6507953	ERX3864707	ERR3852629	408170	human gut metagenome	38020	11354541	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3852629/ERR3852629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3852629/ERR3852629_2.fastq.gz	1793916;866067	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852629/NICU_035_42_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852629/NICU_035_42_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/009/ERR3852629	
PRJEB36435	SAMEA6507923	ERX3864677	ERR3852599	408170	human gut metagenome	27961	8133365	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3852599/ERR3852599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/009/ERR3852599/ERR3852599_2.fastq.gz	1308470;628914	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852599/NICU_006_05_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852599/NICU_006_05_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/009/ERR3852599	
PRJEB36435	SAMEA6507955	ERX3864709	ERR3852631	408170	human gut metagenome	35697	10651622	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3852631/ERR3852631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3852631/ERR3852631_2.fastq.gz	1614792;753615	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852631/NICU_039_14_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852631/NICU_039_14_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/001/ERR3852631	
PRJEB36435	SAMEA6507924	ERX3864678	ERR3852600	408170	human gut metagenome	38220	11344048	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3852600/ERR3852600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/000/ERR3852600/ERR3852600_2.fastq.gz	1670539;843456	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852600/NICU_006_28_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852600/NICU_006_28_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/000/ERR3852600	
PRJEB36435	SAMEA6507957	ERX3864711	ERR3852633	408170	human gut metagenome	33852	9764791	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3852633/ERR3852633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3852633/ERR3852633_2.fastq.gz	1541859;728376	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852633/NICU_039_42_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852633/NICU_039_42_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/003/ERR3852633	
PRJEB36435	SAMEA6507926	ERX3864680	ERR3852602	408170	human gut metagenome	32621	9329542	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3852602/ERR3852602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/002/ERR3852602/ERR3852602_2.fastq.gz	1469780;702880	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852602/NICU_011_04_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852602/NICU_011_04_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/002/ERR3852602	
PRJEB36435	SAMEA6507962	ERX3864716	ERR3852638	408170	human gut metagenome	32724	9745646	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852638/ERR3852638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/008/ERR3852638/ERR3852638_2.fastq.gz	1465372;707536	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852638/NICU_044_14_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852638/NICU_044_14_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/008/ERR3852638	
PRJEB36435	SAMEA6507927	ERX3864681	ERR3852603	408170	human gut metagenome	35245	10528401	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3852603/ERR3852603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/003/ERR3852603/ERR3852603_2.fastq.gz	1706846;812086	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852603/NICU_011_28_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852603/NICU_011_28_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/003/ERR3852603	
PRJEB36435	SAMEA6507965	ERX3864719	ERR3852641	408170	human gut metagenome	4821	853042	ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3852641/ERR3852641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR385/001/ERR3852641/ERR3852641_2.fastq.gz	199256;122655	ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852641/NICU_046_01_bac16S_bac16S_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR385/ERR3852641/NICU_046_01_bac16S_bac16S_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR385/001/ERR3852641	
